Time,Latitude,Longitude,Altitude,AltitudeDiff,Distance,Speed,Grade,HeartRate,Acceleration,HeartRate1min,HeartRate5min,HeartRate10min
2016-04-28T21:43:52Z,30.3234100,-97.7516520,202.2,0.0,4.9,0.0,0,93,0,93,93,93
2016-04-28T21:43:53Z,30.3234540,-97.7516240,202.2,0.0,9.7,0.0,0,93,0,93,93,93
2016-04-28T21:43:54Z,30.3234920,-97.7516050,202.2,0.0,14.6,0.0,0,93,0,93,93,93
2016-04-28T21:43:55Z,30.3235330,-97.7515790,202.2,0.0,19.4,17.28,0,93,0,93,93,93
2016-04-28T21:43:56Z,30.3235690,-97.7515550,202.2,0.0,24.4,17.64,0,92,0,92,92,92
2016-04-28T21:43:57Z,30.3236120,-97.7515240,202.8,0.0,29.6,17.64,0,91,0,91,91,91
2016-04-28T21:43:58Z,30.3236340,-97.7515110,202.8,0.0,34.8,18.0,0,92,0,92,92,92
2016-04-28T21:43:59Z,30.3237010,-97.7514680,202.6,0.0,40.2,18.36,0,91,0,91,91,91
2016-04-28T21:44:00Z,30.3237430,-97.7514390,202.8,0.0,45.7,19.08,0,91,0,91,91,91
2016-04-28T21:44:01Z,30.3237880,-97.7514120,202.8,0.0,51.3,19.44,0,92,0,92,92,92
2016-04-28T21:44:02Z,30.3238310,-97.7513820,202.8,0.0,56.9,19.8,0,92,0,92,92,92
2016-04-28T21:44:03Z,30.3238790,-97.7513520,202.8,0.0,62.5,19.8,0,92,0,92,92,92
2016-04-28T21:44:04Z,30.3239260,-97.7513260,202.8,0.0,68.1,20.16,0,92,0,92,92,92
2016-04-28T21:44:05Z,30.3239730,-97.7513000,202.8,0.0,73.7,20.16,0,92,0,92,92,92
2016-04-28T21:44:06Z,30.3240150,-97.7512720,202.8,0.0,79.5,20.16,0,92,0,92,92,92
2016-04-28T21:44:07Z,30.3240620,-97.7512450,202.8,0.0,85.3,20.52,0,93,0,93,93,93
2016-04-28T21:44:08Z,30.3241140,-97.7512150,202.8,0.0,91.4,20.88,0,93,0,93,93,93
2016-04-28T21:44:09Z,30.3241660,-97.7511820,202.8,0.0,97.7,21.240000000000002,0,93,0,93,93,93
2016-04-28T21:44:10Z,30.3242170,-97.7511500,202.8,0.0,104.1,21.96,0,92,0,92,92,92
