Time,Latitude,Longitude,Altitude,AltitudeDiff,Distance,Speed,Grade,HeartRate,Acceleration,HeartRate1min,HeartRate5min,HeartRate10min
2017-03-18T14:32:21Z,30.2652650,-97.7823560,161.2,0.0,16090.1,16.92,0,118,0,15882.054999999997,15055.857000000007,14122.078666666666
2017-03-18T14:32:22Z,30.2652570,-97.7823570,161.2,0.0,16092.5,14.04,0,117,0,15888.69333333333,15062.652666666676,14128.297666666665
2017-03-18T14:32:23Z,30.2652560,-97.7823550,161.2,0.0,16092.5,10.44,0,117,0,15895.251666666665,15069.439666666674,14134.510666666663
2017-03-18T14:33:30Z,30.2652730,-97.7822560,161.2,0.0,16092.5,0.0,0,111,0,15901.693333333333,15076.209666666675,14140.713166666666
2017-03-18T14:33:31Z,30.2652810,-97.7822260,161.2,0.0,16095.3,0.0,0,111,0,15908.025,15082.962333333344,14146.906166666666
2017-03-18T14:33:32Z,30.2652870,-97.7821920,161.0,0.0,16098.1,0.36000000000000004,0,111,0,15914.295000000002,15089.706666666676,14153.094000000001
2017-03-18T14:33:33Z,30.2652920,-97.7821550,161.0,0.0,16101.5,0.36000000000000004,0,112,0,15920.505000000001,15096.443000000005,14159.276833333335
2017-03-18T14:33:34Z,30.2653060,-97.7821190,161.2,0.0,16105.3,0.7200000000000001,0,112,0,15926.668333333333,15103.176666666674,14165.45566666667
2017-03-18T14:33:35Z,30.2653270,-97.7820860,161.0,0.0,16109.2,0.7200000000000001,0,113,0,15932.793333333335,15109.912666666669,14171.631000000003
2017-03-18T14:33:36Z,30.2653510,-97.7820550,161.0,0.0,16113.1,12.96,0,114,0,15938.883333333335,15116.655000000002,14177.803166666667
2017-03-18T14:33:37Z,30.2653790,-97.7820200,161.0,0.0,16117.3,13.68,0,115,0,15944.938333333334,15123.403666666669,14183.972166666668
2017-03-18T14:33:38Z,30.2654050,-97.7819840,161.2,0.0,16121.7,14.4,0,116,0,15950.965,15130.166333333338,14190.138666666668
2017-03-18T14:33:39Z,30.2654250,-97.7819400,161.0,0.0,16126.4,15.120000000000001,0,118,0,15956.966666666667,15136.943666666668,14196.303000000002
2017-03-18T14:33:40Z,30.2654430,-97.7818940,161.0,0.0,16131.2,15.840000000000002,0,119,0,15962.95,15143.728000000005,14202.465833333337
2017-03-18T14:33:41Z,30.2654600,-97.7818450,161.4,0.0,16136.1,16.56,0,120,0,15968.921666666667,15150.515666666673,14208.6275
2017-03-18T14:33:42Z,30.2654790,-97.7817970,161.4,0.0,16141.0,16.92,0,121,0,15974.883333333333,15157.305333333336,14214.788333333334
2017-03-18T14:33:43Z,30.2654980,-97.7817500,161.4,0.0,16146.1,17.64,0,122,0,15980.833333333334,15164.095666666668,14220.948499999999
2017-03-18T14:33:44Z,30.2655230,-97.7816970,161.8,0.0,16151.3,18.0,0,122,0,15986.773333333333,15170.887666666666,14227.107999999998
2017-03-18T14:33:45Z,30.2655440,-97.7816500,162.0,0.0,16156.6,18.36,0,123,0,15992.703333333335,15177.681333333334,14233.2665
2017-03-18T14:33:46Z,30.2655670,-97.7815970,162.2,0.0,16162.1,18.720000000000002,0,123,0,15998.625000000002,15184.476999999999,14239.42416666667
2017-03-18T14:33:47Z,30.2655930,-97.7815380,162.2,0.0,16167.7,19.08,0,123,0,16004.541666666666,15191.27533333333,14245.581
2017-03-18T14:33:48Z,30.2656160,-97.7814800,162.2,0.0,16173.8,19.8,0,123,0,16010.454999999998,15198.077333333327,14251.737499999997
2017-03-18T14:33:49Z,30.2656440,-97.7814210,162.2,0.0,16180.1,20.88,0,123,0,16016.371666666666,15204.884333333326,14257.894333333332
2017-03-18T14:33:50Z,30.2656720,-97.7813600,162.2,0.0,16186.6,21.6,0,124,0,16022.295,15211.696666666661,14264.051499999998
2017-03-18T14:33:51Z,30.2656990,-97.7812980,162.2,0.0,16193.2,22.32,0,124,0,16028.226666666664,15218.514666666659,14270.209333333332
2017-03-18T14:33:52Z,30.2657260,-97.7812390,162.0,0.0,16199.8,23.040000000000003,0,124,0,16034.166666666664,15225.337999999994,14276.368
2017-03-18T14:33:53Z,30.2657540,-97.7811780,162.2,0.0,16206.5,23.400000000000002,0,124,0,16040.116666666667,15232.16566666666,14282.527500000004
2017-03-18T14:33:54Z,30.2657870,-97.7811070,162.0,0.0,16213.4,24.12,0,124,0,16046.075,15238.998333333328,14288.687833333335
2017-03-18T14:33:55Z,30.2658190,-97.7810410,161.8,0.0,16220.6,24.48,0,125,0,16052.043333333335,15245.835999999996,14294.849333333335
